,name,serving_size,calories,total_fat,fat,protein,Images,carbohydrate,ingredients
0,Grilled Chicken Tikka,150g,250,10,3,25,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/92/49/4/JPsemZiqSBu9pUbCzAgS_chicken-tikka-skewers-7949.jpg",5,"Chicken, spices, oil, garlic, ginger"
1,Tandoori Fish,200g,220,8,2,30,https://tilgoldenbrown.com/wp-content/uploads/2023/03/Homemade-Tandoori-Fish-Fillet-Recipe.jpg,0,"Fish, spices, lemon, garlic, ginger"
2,Lentil Soup (Masoor Dal),250ml,150,2,0.5,10,https://www.daringgourmet.com/wp-content/uploads/2013/06/Masoor-Dal-3-square-768x768.jpg,25,"Vegetables, broth, spices, salt, pepper"
3,Bhindi (Okra) Stir Fry,150g,120,6,1,2,https://www.naivecookcooks.com/wp-content/uploads/2019/09/Quick-stir-fry-okra-bhindi-1.jpg,10,"Vegetables, soy sauce, garlic, ginger, oil"
4,Mixed Vegetable Curry (Low Oil),200g,180,5,1,5,https://indianambrosia.com/wp-content/uploads/2021/06/mixed-vegetable-curry_3877.jpg,15,"Vegetables, spices, oil, garlic, ginger, tomatoes"
5,Methi Paratha (Fenugreek Flatbread),1 piece,300,14,2,7,https://www.thespruceeats.com/thmb/tgTBuj2ON-UHm3kalskCT1aRINg=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/methi-paratha-flatbread-195734-hero-01-f4905290d9ce463a827621ec2f73b50f.jpg,20,Ingredients not specified
6,Chickpea Salad (Chana Chaat),150g,180,7,1,10,https://media.chefdehome.com/800/0/0/chickpea-potato-salad/chickpea-potato-salad.jpg,30,"Vegetables, olive oil, lemon, salt, pepper"
7,Moong Dal with Spinach(Low Oil),,160,3,0.5,9,https://pepkitchen.com/wp-content/uploads/2018/04/Sukhi_palak_moong_dal.jpg,20,"Split yellow moong dal, Spinach, Garlic, Ginger, Green chilies, Cumin seeds, Turmeric powder, Red chili powder, Salt, Low oil, Water"
8,Palak Paneer (Low-fat),150g,240,10,3,15,https://i0.wp.com/cookingfromheart.com/wp-content/uploads/2016/06/Palak-Paneer-1.jpg?w=800&ssl=1,10,"Spinach, Low-fat paneer, Onions, Tomatoes, Garlic, Ginger, Green chilies, Cumin seeds, Garam masala, Turmeric powder, Red chili powder, Salt, Low-fat milk or cream, Low oil"
9,Sarson Ka Saag(Low Oil),,200,8,2,6,https://www.teaforturmeric.com/wp-content/uploads/2021/01/Sarson-Ka-Saag-8.jpg,8,"Mustard greens, Spinach, Bathua, Ginger, Garlic, Green chilies, Maize flour, Salt, Low oil, Water"
10,Aloo Gobi (Low Oil),150g,170,7,1,4,https://files.cleanfooddirtygirl.com/20210924101112/whole_food_plant_based_aloo_gobi_9.jpg,15,"Potatoes, Cauliflower, Onions, Tomatoes, Garlic, Ginger, Green chilies, Cumin seeds, Turmeric powder, Red chili powder, Coriander powder, Garam masala, Salt, Low oil"
11,Cucumber Raita (Low-fat yogurt),100g,50,1,0.5,3,https://www.nourishandtempt.com/wp-content/uploads/2023/10/66FE2BE3-1758-4813-B086-1719799793ED-1229x1536.jpg,5,"Cucumber, Low-fat yogurt, Roasted cumin powder, Red chili powder, Chaat masala, Salt, Fresh coriander or mint leaves"
12,Chicken Shorba(Low Oil),,100,4,1,20,https://theflavoursofkitchen.com/wp-content/uploads/2016/05/No-Oil-Chicken-Curry-7.jpg,5,"Chicken, spices, oil, garlic, ginger"
13,Baingan Bharta (Low-oil),200g,150,5,1,3,https://www.teaforturmeric.com/wp-content/uploads/2016/12/Baingan-Bharta-3-1024x1536.jpg,10,"Eggplant (1 large), Onion (1 medium), Tomatoes (2 medium), Garlic cloves (4), Green chilies (2), Ginger (1 inch piece), Cumin seeds (1 tsp), Coriander powder (1 tsp), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Garam masala (1/2 tsp), Fresh coriander leaves (for garnish), Salt (to taste), Oil (1 tbsp)"
14,Whole Wheat Roti,1 piece,110,2,0.5,4,https://poppyswildkitchen.com/wp-content/uploads/2020/09/roti-folded-1.jpg,20,"Whole wheat flour (2 cups), Water (as needed), Salt (1/2 tsp, optional)"
15,Grilled Turmeric Chicken,150g,260,9,2,25,https://www.mediterraneanliving.com/wp-content/uploads/2019/06/GRILLED_TUMERIC_CHICKEN-2_HD-300x300.jpg,5,"Chicken, spices, oil, garlic, ginger"
16,Chicken Yakhni Pulao,250g,350,15,4,20,https://www.teaforturmeric.com/wp-content/uploads/2022/08/Chicken-Pulao-on-a-platter-1024x1536.jpg,40,"Chicken, spices, oil, garlic, ginger"
17,Rajma (Kidney Bean Curry),200g,210,6,1,15,https://www.allrecipes.com/thmb/pqhTmw40jvjE7v3vAklX3lhmsDw=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/212366rajma-kidney-bean-curryAnonymous4x3-900a8f642100489ba050f9c9277e31e5.jpg,35,"Vegetables, spices, oil, garlic, ginger, tomatoes"
18,Tomato and Onion Salad,100g,30,0.5,0,1,https://www.kitchensanctuary.com/wp-content/uploads/2020/08/Tomato-Onion-Coriander-Salad-tall-FS-81.webp,5,"Vegetables, olive oil, lemon, salt, pepper"
19,Bharwan Tinda (Stuffed Indian Round Gourd),150g,120,4,1,3,https://www.thesecretingredient.in/wp-content/uploads/2015/06/BharwanTinda_Featured2.jpg,10,"Tinda (6-8 pieces), Onion (1 medium, finely chopped), Tomato (1 medium, finely chopped), Green chilies (2, chopped), Ginger (1 tsp, grated), Garlic (4 cloves, minced), Cumin seeds (1 tsp), Coriander powder (1 tsp), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Garam masala (1/2 tsp), Amchur (dry mango powder, 1/2 tsp), Fresh coriander leaves (for garnish), Salt (to taste), Oil (2 tbsp)"
20,"Kachumber Salad (Cucumber, Tomato, Onion Salad)",100g,60,1,0,1,https://www.veganricha.com/wp-content/uploads/2016/06/vegan-kachumbar-salad-lentil-meatloaf-burger-chana-dal-3783.jpg,5,"Vegetables, olive oil, lemon, salt, pepper"
21,Tandoori Pomfret,1 piece,250,10,3,32,https://www.foodandwine.com/thmb/_8DkxAxIGLFB6-gAThgkbm-btKg=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Maneet-Chauhan-Diwali-Celebration-Tandoori-Pomfret-FT-BLOG1022-2000-f78e70a420a242e2bcd471fccf067614.jpg,0,"Pomfret fish (2 whole), Yogurt (1/2 cup), Lemon juice (2 tbsp), Ginger-garlic paste (2 tbsp), Red chili powder (1 tsp), Turmeric powder (1/2 tsp), Garam masala (1 tsp), Cumin powder (1 tsp), Coriander powder (1 tsp), Salt (to taste), Oil (2 tbsp), Fresh coriander leaves (for garnish)"
22,Roasted Chana,30g,140,6,1,6,https://images.healthshots.com/healthshots/en/uploads/2022/09/19165004/roasted-chana-370x207.jpg,20,"Chana (whole chickpeas, 1 cup), Olive oil (1 tbsp), Salt (to taste), Red chili powder (1/2 tsp), Chaat masala (1/2 tsp)"
23,Tandoori Roti,1 piece,110,2,0.5,4,https://s3-ap-south-1.amazonaws.com/betterbutterbucket-silver/14423167232KIe8WnTzK_thumb.jpeg,30,"Whole wheat flour (2 cups), Yogurt (2 tbsp), Baking powder (1/2 tsp), Baking soda (1/4 tsp), Salt (1/2 tsp), Water (as needed), Oil (1 tbsp), Nigella seeds (1 tsp, optional)"
24,Karela (Bitter Gourd) Stir Fry,150g,100,3,1,2,https://pipingpotcurry.com/wp-content/uploads/2020/10/Karela-Subji-Recipe.-Bitter-Melon-Stir-Fry-Piping-Pot-Curry.jpg,5,"Vegetables, soy sauce, garlic, ginger, oil"
25,Dalia Khichdi (Cracked Wheat),200g,180,4,0.5,4,https://www.cookwithmanali.com/wp-content/uploads/2022/08/Instant-Pot-Vegetable-Daliya.jpg,20,"Cracked wheat (1 cup), Moong dal (1/2 cup), Mixed vegetables (1 cup, chopped), Onion (1 medium, chopped), Green chilies (2, chopped), Ginger (1 inch, grated), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Salt (to taste), Water (4 cups), Ghee or oil (2 tbsp)"
26,Carrot and Ginger Juice,250ml,50,0,0,1,https://www.alphafoodie.com/wp-content/uploads/2020/11/Carrot-Ginger-Juice-5-of-6.jpeg,10,"Carrots (4 large), Ginger (1 inch piece), Lemon juice (1 tbsp), Water (as needed), Honey (optional, to taste)"
27,Mixed Lentil Dosa,1 piece,200,7,1,5,https://i0.wp.com/curryandvanilla.com/wp-content/uploads/2020/07/adai-dosa-1b.jpg?w=756&ssl=1,30,"Urad dal (1/2 cup), Chana dal (1/2 cup), Moong dal (1/2 cup), Toor dal (1/2 cup), Rice (1 cup), Fenugreek seeds (1 tsp), Water (as needed), Salt (to taste), Oil (for cooking)"
28,Masala Chai,150ml,100,4,2,2,https://forktospoon.com/wp-content/uploads/2021/09/Instant-Pot-Spiced-Milk-Tea-Masala-Chai.jpg,10,"Water (2 cups), Milk (2 cups), Tea leaves (2 tbsp), Sugar (to taste), Ginger (1 inch, crushed), Cardamom pods (4, crushed), Cloves (2), Cinnamon stick (1 inch), Black peppercorns (4, crushed)"
29,Paneer Tikka,150g,280,14,5,14,https://www.cookwithmanali.com/wp-content/uploads/2015/07/Restaurant-Style-Recipe-Paneer-Tikka.jpg,10,"Paneer (250 grams, cubed), Yogurt (1/2 cup), Ginger-garlic paste (1 tbsp), Red chili powder (1 tsp), Turmeric powder (1/2 tsp), Garam masala (1 tsp), Coriander powder (1 tsp), Lemon juice (1 tbsp), Salt (to taste), Oil (2 tbsp)"
30,Chana Chaat,100g,180,7,1,6,https://www.flourandspiceblog.com/wp-content/uploads/2022/04/IMG_7091.jpg,20,"Boiled chickpeas (1 cup), Onion (1 medium, chopped), Tomato (1 medium, chopped), Green chilies (2, chopped), Coriander leaves (for garnish), Chaat masala (1 tsp), Red chili powder (1/2 tsp), Cumin powder (1/2 tsp), Lemon juice (1 tbsp), Salt (to taste)"
31,Sprouted Moong Salad,150g,90,1,0,6,https://www.indianveggiedelight.com/wp-content/uploads/2021/05/Sprouted-moong-salad.jpg,15,"Vegetables, olive oil, lemon, salt, pepper"
32,Smoked Baingan Raita,100g,70,4,1,2,https://www.yummytummyaarthi.com/wp-content/uploads/2018/01/1-17.jpg,5,"Eggplant (1 large), Yogurt (1 cup), Green chilies (2, chopped), Ginger (1 inch, grated), Cumin powder (1 tsp), Salt (to taste), Coriander leaves (for garnish), Oil (1 tbsp)"
33,Pumpkin and Carrot Soup,250ml,80,2,0.5,3,https://domesticgothess.com/wp-content/uploads/2019/10/spiced-carrot-pumpkin-soup.jpg,10,"Vegetables, broth, spices, salt, pepper"
34,Aloo Gobi (Low Oil),150g,170,7,1,4,https://www.flourandspiceblog.com/wp-content/uploads/2023/01/IMG_9608.jpg,15,"Potatoes (2 medium, cubed), Cauliflower (1 medium, florets), Onion (1 medium, chopped), Tomato (1 medium, chopped), Green chilies (2, chopped), Ginger (1 inch, grated), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Coriander powder (1 tsp), Red chili powder (1/2 tsp), Garam masala (1/2 tsp), Salt (to taste), Oil (2 tbsp), Fresh coriander leaves (for garnish)"
35,"Mixed Vegetable Salad (Carrot, Cucumber, Onion)",150g,50,1,0,1,https://www.eatingwell.com/thmb/TMD0PG8MozR6H9jIbSWWmJfTQrQ=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/5592991-2be59dc822c643488f76f3104889de53.jpg,5,"Vegetables, olive oil, lemon, salt, pepper"
36,Dal Tadka,200g,180,8,2,9,https://holycowvegan.net/wp-content/uploads/2022/04/dal-tadka.jpg,25,"Toor dal (1 cup), Onion (1 medium, chopped), Tomato (1 medium, chopped), Garlic cloves (4, minced), Ginger (1 inch, grated), Green chilies (2, chopped), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Cumin seeds (1 tsp), Mustard seeds (1 tsp), Salt (to taste), Ghee (2 tbsp), Fresh coriander leaves (for garnish)"
37,Lobia Soup (Black-Eyed Pea Soup),250ml,130,3,0.5,9,https://sugarandgarlic.com/wp-content/uploads/2020/01/loubiya5-1695x2048.jpg,25,"Vegetables, broth, spices, salt, pepper"
